"lon","lat","elevation","time"
-122.064636,36.95144,"15.8","2011-12-08T19:37:56Z"
-122.064577,36.951915,"15.5","2011-12-08T19:37:59Z"
-122.064542,36.952013,"15.4","2011-12-08T19:38:04Z"
-122.064467,36.95218,"15.5","2011-12-08T19:38:07Z"
-122.064338,36.952238,"15.7","2011-12-08T19:38:10Z"
-122.064207,36.952326,"15.8","2011-12-08T19:38:13Z"
-122.064184,36.952493,"15.8","2011-12-08T19:38:16Z"
-122.064115,36.95263,"16.0","2011-12-08T19:38:19Z"
-122.064102,36.952797,"16.1","2011-12-08T19:38:22Z"
-122.06411,36.952969,"16.2","2011-12-08T19:38:25Z"
-122.064075,36.953133,"16.2","2011-12-08T19:38:28Z"
-122.064102,36.953318,"16.1","2011-12-08T19:38:32Z"
-122.064086,36.953541,"16.0","2011-12-08T19:38:36Z"
-122.064087,36.953774,"15.9","2011-12-08T19:38:40Z"
-122.064125,36.954007,"16.0","2011-12-08T19:38:43Z"
-122.064217,36.954109,"16.0","2011-12-08T19:38:46Z"
-122.064106,36.954194,"16.1","2011-12-08T19:38:49Z"
-122.064109,36.954287,"16.1","2011-12-08T19:38:52Z"
-122.064123,36.954482,"16.3","2011-12-08T19:38:55Z"
-122.064092,36.954646,"16.4","2011-12-08T19:38:58Z"
-122.06404,36.954796,"16.6","2011-12-08T19:39:01Z"
-122.063967,36.954944,"16.6","2011-12-08T19:39:04Z"
-122.063818,36.955012,"16.7","2011-12-08T19:39:07Z"
-122.063544,36.954925,"16.6","2011-12-08T19:39:10Z"
-122.063297,36.954884,"16.4","2011-12-08T19:39:13Z"
-122.063063,36.954857,"16.3","2011-12-08T19:39:16Z"
-122.062913,36.954852,"16.2","2011-12-08T19:39:19Z"
-122.0628,36.954865,"16.2","2011-12-08T19:39:22Z"
-122.06266,36.954851,"16.0","2011-12-08T19:39:25Z"
-122.06251,36.954877,"15.8","2011-12-08T19:39:28Z"
-122.062508,36.954994,"15.8","2011-12-08T19:39:31Z"
-122.062496,36.9552,"15.9","2011-12-08T19:39:34Z"
-122.062499,36.955358,"16.1","2011-12-08T19:39:37Z"
-122.062468,36.955513,"16.5","2011-12-08T19:39:40Z"
-122.062462,36.955671,"16.8","2011-12-08T19:39:44Z"
-122.062462,36.955891,"17.3","2011-12-08T19:39:47Z"
-122.06243,36.956067,"17.7","2011-12-08T19:39:50Z"
-122.062487,36.956243,"18.0","2011-12-08T19:39:53Z"
-122.0625,36.956428,"18.4","2011-12-08T19:39:56Z"
-122.062513,36.956616,"18.8","2011-12-08T19:39:59Z"
-122.062516,36.956811,"19.2","2011-12-08T19:40:02Z"
-122.062505,36.957001,"19.6","2011-12-08T19:40:05Z"
-122.062521,36.957124,"19.8","2011-12-08T19:40:08Z"
-122.062509,36.957367,"20.4","2011-12-08T19:40:11Z"
-122.062498,36.957543,"20.7","2011-12-08T19:40:14Z"
-122.062497,36.957662,"20.8","2011-12-08T19:40:17Z"
-122.062524,36.957876,"21.2","2011-12-08T19:40:20Z"
-122.06258,36.958007,"21.4","2011-12-08T19:40:23Z"
-122.062605,36.95816,"21.8","2011-12-08T19:40:26Z"
-122.062483,36.95831,"21.8","2011-12-08T19:40:29Z"
-122.062382,36.958464,"22.1","2011-12-08T19:40:32Z"
-122.062275,36.958628,"22.2","2011-12-08T19:40:35Z"
-122.062198,36.958803,"22.5","2011-12-08T19:40:38Z"
-122.062114,36.958973,"22.3","2011-12-08T19:40:41Z"
-122.06204,36.95916,"21.8","2011-12-08T19:40:44Z"
-122.061996,36.959355,"19.1","2011-12-08T19:40:47Z"
-122.061962,36.959557,"19.2","2011-12-08T19:40:50Z"
-122.061972,36.959742,"20.6","2011-12-08T19:40:53Z"
-122.061981,36.959922,"22.0","2011-12-08T19:40:56Z"
-122.062007,36.960079,"22.5","2011-12-08T19:40:59Z"
-122.062015,36.960234,"23.2","2011-12-08T19:41:03Z"
-122.062052,36.960421,"24.3","2011-12-08T19:41:06Z"
-122.062067,36.960583,"24.8","2011-12-08T19:41:09Z"
-122.062094,36.960752,"26.1","2011-12-08T19:41:13Z"
-122.062139,36.960889,"27.7","2011-12-08T19:41:16Z"
-122.062353,36.960992,"30.4","2011-12-08T19:41:19Z"
-122.062487,36.961097,"31.3","2011-12-08T19:41:23Z"
-122.062672,36.961228,"32.8","2011-12-08T19:41:26Z"
-122.062851,36.961261,"32.8","2011-12-08T19:41:29Z"
-122.063035,36.961278,"33.1","2011-12-08T19:41:32Z"
-122.063223,36.961279,"33.9","2011-12-08T19:41:35Z"
-122.06341,36.961269,"34.8","2011-12-08T19:41:38Z"
-122.063617,36.961264,"35.5","2011-12-08T19:41:41Z"
-122.063832,36.96127,"35.7","2011-12-08T19:41:44Z"
-122.064053,36.961287,"35.3","2011-12-08T19:41:47Z"
-122.064271,36.961312,"34.8","2011-12-08T19:41:50Z"
-122.064492,36.961331,"34.3","2011-12-08T19:41:53Z"
-122.064712,36.961365,"34.2","2011-12-08T19:41:56Z"
-122.064964,36.961386,"34.3","2011-12-08T19:41:59Z"
-122.065211,36.961409,"35.2","2011-12-08T19:42:02Z"
-122.065377,36.961425,"35.3","2011-12-08T19:42:05Z"
-122.065708,36.961444,"35.4","2011-12-08T19:42:08Z"
-122.065869,36.961454,"35.4","2011-12-08T19:42:11Z"
-122.066204,36.961478,"35.2","2011-12-08T19:42:15Z"
-122.066511,36.961509,"36.1","2011-12-08T19:42:18Z"
-122.066762,36.961529,"36.0","2011-12-08T19:42:21Z"
-122.066995,36.961543,"36.0","2011-12-08T19:42:24Z"
-122.067235,36.961575,"37.1","2011-12-08T19:42:27Z"
-122.067479,36.961595,"36.0","2011-12-08T19:42:30Z"
-122.067699,36.961622,"32.8","2011-12-08T19:42:33Z"
-122.067882,36.961632,"30.4","2011-12-08T19:42:36Z"
-122.068038,36.961686,"28.9","2011-12-08T19:42:39Z"
-122.068244,36.961733,"25.5","2011-12-08T19:42:42Z"
-122.068492,36.961759,"25.3","2011-12-08T19:42:45Z"
-122.068766,36.961761,"30.4","2011-12-08T19:42:48Z"
-122.06906,36.961766,"31.6","2011-12-08T19:42:51Z"
-122.069337,36.961766,"31.5","2011-12-08T19:42:54Z"
-122.069433,36.961788,"31.3","2011-12-08T19:42:57Z"
-122.06972,36.961842,"30.7","2011-12-08T19:43:00Z"
-122.069858,36.961776,"30.4","2011-12-08T19:43:03Z"
-122.070073,36.961788,"30.2","2011-12-08T19:43:06Z"
-122.07029,36.961793,"30.5","2011-12-08T19:43:09Z"
-122.07052,36.961783,"30.3","2011-12-08T19:43:12Z"
-122.070791,36.961776,"29.0","2011-12-08T19:43:15Z"
-122.071071,36.961762,"27.8","2011-12-08T19:43:18Z"
-122.071355,36.961761,"28.1","2011-12-08T19:43:21Z"
-122.071489,36.961771,"29.2","2011-12-08T19:43:24Z"
-122.071748,36.96183,"30.1","2011-12-08T19:43:27Z"
-122.071927,36.961878,"31.0","2011-12-08T19:43:31Z"
-122.072185,36.961917,"30.9","2011-12-08T19:43:34Z"
-122.072398,36.96196,"31.1","2011-12-08T19:43:37Z"
-122.072623,36.96199,"30.8","2011-12-08T19:43:40Z"
-122.072852,36.962007,"30.5","2011-12-08T19:43:43Z"
-122.073097,36.962007,"30.3","2011-12-08T19:43:47Z"
-122.073423,36.962025,"29.7","2011-12-08T19:43:50Z"
-122.073677,36.961989,"29.8","2011-12-08T19:43:53Z"
-122.073963,36.961949,"29.4","2011-12-08T19:43:56Z"
-122.074141,36.961936,"28.2","2011-12-08T19:43:59Z"
-122.074509,36.961931,"28.2","2011-12-08T19:44:03Z"
-122.074859,36.961938,"28.5","2011-12-08T19:44:06Z"
-122.075119,36.961939,"28.8","2011-12-08T19:44:09Z"
-122.075384,36.961952,"29.2","2011-12-08T19:44:12Z"
-122.075649,36.961958,"29.2","2011-12-08T19:44:15Z"
-122.075921,36.961947,"29.2","2011-12-08T19:44:18Z"
-122.0761,36.961946,"29.1","2011-12-08T19:44:21Z"
-122.076447,36.961964,"29.0","2011-12-08T19:44:24Z"
-122.076705,36.961961,"29.0","2011-12-08T19:44:27Z"
-122.076953,36.961965,"28.9","2011-12-08T19:44:30Z"
-122.077202,36.961971,"28.8","2011-12-08T19:44:33Z"
-122.07745,36.96198,"28.5","2011-12-08T19:44:36Z"
-122.077699,36.961999,"28.0","2011-12-08T19:44:39Z"
-122.077955,36.962009,"27.4","2011-12-08T19:44:42Z"
-122.078244,36.962013,"25.3","2011-12-08T19:44:45Z"
-122.078415,36.962027,"25.5","2011-12-08T19:44:48Z"
-122.07868,36.962043,"25.2","2011-12-08T19:44:51Z"
-122.079041,36.962054,"26.4","2011-12-08T19:44:54Z"
-122.079294,36.962026,"26.8","2011-12-08T19:44:57Z"
-122.079545,36.961989,"27.8","2011-12-08T19:45:00Z"
-122.079774,36.961981,"28.4","2011-12-08T19:45:03Z"
-122.080003,36.96198,"29.1","2011-12-08T19:45:06Z"
-122.080224,36.961988,"29.6","2011-12-08T19:45:09Z"
-122.080444,36.961998,"29.9","2011-12-08T19:45:12Z"
-122.080677,36.962005,"29.8","2011-12-08T19:45:15Z"
-122.080929,36.961999,"29.2","2011-12-08T19:45:18Z"
-122.081189,36.961986,"28.6","2011-12-08T19:45:21Z"
-122.081504,36.96194,"26.0","2011-12-08T19:45:24Z"
-122.081908,36.961986,"24.7","2011-12-08T19:45:27Z"
-122.082332,36.961933,"13.0","2011-12-08T19:45:31Z"
-122.082936,36.961955,"11.9","2011-12-08T19:45:34Z"
-122.083284,36.962005,"13.1","2011-12-08T19:45:37Z"
-122.08361,36.962037,"14.2","2011-12-08T19:45:40Z"
-122.083892,36.96204,"12.7","2011-12-08T19:45:43Z"
-122.084155,36.962034,"10.6","2011-12-08T19:45:46Z"
-122.084355,36.96199,"13.0","2011-12-08T19:45:49Z"
-122.084439,36.9621,"11.9","2011-12-08T19:45:52Z"
-122.084527,36.962224,"12.2","2011-12-08T19:45:55Z"
-122.084633,36.962411,"14.0","2011-12-08T19:45:58Z"
-122.084674,36.962577,"12.9","2011-12-08T19:46:01Z"
-122.084658,36.962727,"12.5","2011-12-08T19:46:04Z"
-122.084691,36.962923,"14.5","2011-12-08T19:46:07Z"
-122.084718,36.963111,"16.7","2011-12-08T19:46:10Z"
-122.084722,36.963298,"18.5","2011-12-08T19:46:13Z"
-122.084727,36.96343,"18.7","2011-12-08T19:46:16Z"
-122.084718,36.963666,"17.7","2011-12-08T19:46:19Z"
-122.084675,36.963829,"17.6","2011-12-08T19:46:22Z"
-122.084606,36.964002,"17.4","2011-12-08T19:46:25Z"
-122.084496,36.964187,"17.3","2011-12-08T19:46:28Z"
-122.084379,36.964402,"17.5","2011-12-08T19:46:32Z"
-122.084299,36.964606,"17.5","2011-12-08T19:46:35Z"
-122.084267,36.96487,"17.9","2011-12-08T19:46:38Z"
-122.084236,36.965026,"17.3","2011-12-08T19:46:41Z"
-122.08428,36.96513,"17.9","2011-12-08T19:46:44Z"
-122.084345,36.965125,"17.9","2011-12-08T19:46:47Z"
-122.084406,36.965035,"18.5","2011-12-08T19:46:50Z"
-122.084494,36.964852,"21.7","2011-12-08T19:46:53Z"
-122.084527,36.964755,"20.8","2011-12-08T19:46:56Z"
-122.084578,36.964671,"22.2","2011-12-08T19:46:59Z"
-122.084656,36.964595,"23.8","2011-12-08T19:47:02Z"
-122.084731,36.964502,"23.5","2011-12-08T19:47:05Z"
-122.084808,36.964415,"20.3","2011-12-08T19:47:08Z"
-122.08491,36.964339,"26.6","2011-12-08T19:47:11Z"
-122.084998,36.96425,"25.2","2011-12-08T19:47:14Z"
-122.085065,36.964149,"28.1","2011-12-08T19:47:17Z"
-122.085132,36.964049,"31.1","2011-12-08T19:47:20Z"
-122.085205,36.963955,"33.6","2011-12-08T19:47:23Z"
-122.085299,36.963866,"35.8","2011-12-08T19:47:26Z"
-122.085397,36.963791,"37.6","2011-12-08T19:47:29Z"
-122.085495,36.963722,"40.3","2011-12-08T19:47:32Z"
-122.085603,36.963658,"40.2","2011-12-08T19:47:35Z"
-122.085713,36.963608,"39.6","2011-12-08T19:47:38Z"
-122.08584,36.963567,"41.1","2011-12-08T19:47:41Z"
-122.085982,36.963538,"41.4","2011-12-08T19:47:44Z"
-122.086139,36.963524,"41.6","2011-12-08T19:47:48Z"
-122.086352,36.963544,"40.8","2011-12-08T19:47:52Z"
-122.086486,36.963602,"39.7","2011-12-08T19:47:55Z"
-122.086624,36.963713,"42.8","2011-12-08T19:47:59Z"
-122.08674,36.963821,"43.9","2011-12-08T19:48:02Z"
-122.086791,36.963869,"43.5","2011-12-08T19:48:05Z"
-122.08689,36.963966,"44.9","2011-12-08T19:48:08Z"
-122.086939,36.964012,"46.6","2011-12-08T19:48:11Z"
-122.08703,36.964099,"48.1","2011-12-08T19:48:14Z"
-122.087098,36.964166,"47.9","2011-12-08T19:48:17Z"
-122.087165,36.964238,"49.0","2011-12-08T19:48:20Z"
-122.08723,36.964315,"49.7","2011-12-08T19:48:23Z"
-122.087286,36.964396,"51.2","2011-12-08T19:48:26Z"
-122.087327,36.964483,"52.4","2011-12-08T19:48:29Z"
-122.087351,36.964575,"54.0","2011-12-08T19:48:32Z"
-122.087371,36.964676,"55.8","2011-12-08T19:48:35Z"
-122.087375,36.96478,"58.1","2011-12-08T19:48:38Z"
-122.087364,36.964883,"60.7","2011-12-08T19:48:41Z"
-122.087351,36.964985,"62.1","2011-12-08T19:48:44Z"
-122.087345,36.965082,"62.5","2011-12-08T19:48:47Z"
-122.087345,36.96517,"62.6","2011-12-08T19:48:50Z"
-122.087343,36.965259,"62.9","2011-12-08T19:48:53Z"
-122.087342,36.965358,"63.7","2011-12-08T19:48:56Z"
-122.087344,36.96547,"64.4","2011-12-08T19:48:59Z"
-122.087346,36.965609,"64.7","2011-12-08T19:49:02Z"
-122.087358,36.96575,"65.6","2011-12-08T19:49:05Z"
-122.087376,36.965907,"66.3","2011-12-08T19:49:08Z"
-122.08738,36.966055,"66.8","2011-12-08T19:49:11Z"
-122.087341,36.966199,"66.8","2011-12-08T19:49:14Z"
-122.087296,36.96635,"68.3","2011-12-08T19:49:17Z"
-122.087233,36.966489,"69.6","2011-12-08T19:49:20Z"
-122.087183,36.966641,"69.1","2011-12-08T19:49:23Z"
-122.087126,36.9668,"67.9","2011-12-08T19:49:26Z"
-122.087067,36.966963,"68.4","2011-12-08T19:49:29Z"
-122.08702,36.967133,"69.6","2011-12-08T19:49:32Z"
-122.086979,36.967298,"70.4","2011-12-08T19:49:35Z"
-122.086934,36.967455,"71.0","2011-12-08T19:49:38Z"
-122.086874,36.967623,"71.5","2011-12-08T19:49:41Z"
-122.086797,36.967803,"71.9","2011-12-08T19:49:44Z"
-122.086759,36.967993,"71.8","2011-12-08T19:49:47Z"
-122.086723,36.968182,"71.1","2011-12-08T19:49:50Z"
-122.086694,36.968367,"70.7","2011-12-08T19:49:53Z"
-122.086661,36.968545,"69.9","2011-12-08T19:49:56Z"
-122.086594,36.968743,"69.2","2011-12-08T19:49:59Z"
-122.086536,36.968942,"68.9","2011-12-08T19:50:02Z"
-122.086465,36.969146,"70.2","2011-12-08T19:50:05Z"
-122.086373,36.969327,"69.4","2011-12-08T19:50:08Z"
-122.086257,36.969506,"69.7","2011-12-08T19:50:11Z"
-122.086158,36.96969,"70.6","2011-12-08T19:50:14Z"
-122.086114,36.969902,"70.7","2011-12-08T19:50:17Z"
-122.086187,36.970111,"69.6","2011-12-08T19:50:20Z"
-122.086256,36.970315,"68.1","2011-12-08T19:50:23Z"
-122.086362,36.970512,"64.3","2011-12-08T19:50:26Z"
-122.086599,36.970707,"66.5","2011-12-08T19:50:29Z"
-122.086776,36.970917,"67.6","2011-12-08T19:50:32Z"
-122.086944,36.97108,"69.2","2011-12-08T19:50:35Z"
-122.087072,36.971194,"72.4","2011-12-08T19:50:38Z"
-122.087197,36.971302,"73.7","2011-12-08T19:50:41Z"
-122.087234,36.971476,"74.3","2011-12-08T19:50:44Z"
-122.087375,36.971602,"74.4","2011-12-08T19:50:47Z"
-122.087355,36.97176,"73.8","2011-12-08T19:50:50Z"
-122.08749,36.971915,"72.8","2011-12-08T19:50:53Z"
-122.087715,36.972012,"68.9","2011-12-08T19:50:56Z"
-122.087961,36.972091,"67.6","2011-12-08T19:50:59Z"
-122.088198,36.972277,"68.8","2011-12-08T19:51:02Z"
-122.088467,36.972344,"69.4","2011-12-08T19:51:05Z"
-122.088698,36.972376,"69.2","2011-12-08T19:51:08Z"
-122.088884,36.972476,"69.5","2011-12-08T19:51:11Z"
-122.088741,36.972671,"70.1","2011-12-08T19:51:14Z"
-122.088697,36.972833,"71.4","2011-12-08T19:51:17Z"
-122.088631,36.972993,"70.4","2011-12-08T19:51:20Z"
-122.088547,36.973167,"69.7","2011-12-08T19:51:23Z"
-122.088444,36.973336,"69.1","2011-12-08T19:51:26Z"
-122.088332,36.973574,"70.2","2011-12-08T19:51:29Z"
-122.088231,36.97383,"70.3","2011-12-08T19:51:32Z"
-122.088107,36.973982,"72.2","2011-12-08T19:51:35Z"
-122.088002,36.974113,"72.9","2011-12-08T19:51:38Z"
-122.087998,36.97421,"73.3","2011-12-08T19:51:41Z"
-122.088185,36.974089,"72.2","2011-12-08T19:51:44Z"
-122.088363,36.974025,"71.8","2011-12-08T19:51:47Z"
-122.088535,36.973952,"70.7","2011-12-08T19:51:50Z"
-122.088606,36.973826,"69.8","2011-12-08T19:51:53Z"
-122.08871,36.973708,"69.3","2011-12-08T19:51:56Z"
-122.088968,36.973631,"69.0","2011-12-08T19:51:59Z"
-122.089171,36.973566,"68.9","2011-12-08T19:52:02Z"
-122.089306,36.973678,"69.4","2011-12-08T19:52:05Z"
-122.089362,36.973782,"69.8","2011-12-08T19:52:08Z"
-122.089441,36.973912,"71.3","2011-12-08T19:52:11Z"
-122.089646,36.973972,"70.3","2011-12-08T19:52:14Z"
-122.089789,36.974027,"71.1","2011-12-08T19:52:17Z"
-122.089892,36.974097,"72.2","2011-12-08T19:52:20Z"
-122.089982,36.974186,"72.8","2011-12-08T19:52:23Z"
-122.090053,36.974278,"73.7","2011-12-08T19:52:26Z"
-122.090141,36.974349,"73.6","2011-12-08T19:52:29Z"
-122.09025,36.974387,"74.2","2011-12-08T19:52:32Z"
-122.090317,36.974317,"73.5","2011-12-08T19:52:35Z"
-122.090227,36.974209,"72.8","2011-12-08T19:52:38Z"
-122.09015,36.973984,"71.1","2011-12-08T19:52:41Z"
-122.090044,36.973802,"68.4","2011-12-08T19:52:44Z"
-122.089815,36.973673,"67.4","2011-12-08T19:52:47Z"
-122.089707,36.973478,"65.5","2011-12-08T19:52:50Z"
-122.089678,36.973322,"63.7","2011-12-08T19:52:53Z"
-122.089654,36.973094,"64.1","2011-12-08T19:52:56Z"
-122.08971,36.972863,"63.2","2011-12-08T19:52:59Z"
-122.089789,36.972666,"64.6","2011-12-08T19:53:02Z"
-122.089892,36.972647,"67.5","2011-12-08T19:53:05Z"
-122.089992,36.972674,"68.5","2011-12-08T19:53:08Z"
-122.090185,36.972712,"69.6","2011-12-08T19:53:11Z"
-122.090284,36.972612,"65.6","2011-12-08T19:53:14Z"
-122.090317,36.972486,"56.7","2011-12-08T19:53:17Z"
-122.090316,36.972343,"53.5","2011-12-08T19:53:20Z"
-122.090334,36.972258,"51.6","2011-12-08T19:53:23Z"
-122.090396,36.972244,"56.0","2011-12-08T19:53:26Z"
-122.09049,36.972202,"60.8","2011-12-08T19:53:29Z"
-122.090582,36.972271,"66.5","2011-12-08T19:53:32Z"
-122.090662,36.972393,"69.6","2011-12-08T19:53:35Z"
-122.090796,36.972501,"70.3","2011-12-08T19:53:38Z"
-122.090967,36.972598,"69.4","2011-12-08T19:53:41Z"
-122.091287,36.972715,"69.2","2011-12-08T19:53:44Z"
-122.091469,36.972823,"69.3","2011-12-08T19:53:47Z"
-122.091583,36.972964,"70.2","2011-12-08T19:53:50Z"
-122.091693,36.973076,"70.3","2011-12-08T19:53:53Z"
-122.091834,36.973195,"70.5","2011-12-08T19:53:56Z"
-122.091949,36.973315,"69.3","2011-12-08T19:53:59Z"
-122.091998,36.973456,"70.7","2011-12-08T19:54:02Z"
-122.092081,36.973574,"70.9","2011-12-08T19:54:05Z"
-122.092224,36.973654,"70.8","2011-12-08T19:54:08Z"
-122.092432,36.973749,"71.3","2011-12-08T19:54:11Z"
-122.092585,36.973847,"72.2","2011-12-08T19:54:14Z"
-122.092647,36.973933,"73.0","2011-12-08T19:54:17Z"
-122.092723,36.974013,"73.8","2011-12-08T19:54:20Z"
-122.09275,36.974055,"73.8","2011-12-08T19:54:23Z"
-122.092801,36.974098,"74.9","2011-12-08T19:54:26Z"
-122.092854,36.974144,"74.9","2011-12-08T19:54:29Z"
-122.092908,36.974198,"76.1","2011-12-08T19:54:32Z"
-122.092965,36.974258,"75.4","2011-12-08T19:54:35Z"
-122.093038,36.97432,"77.4","2011-12-08T19:54:38Z"
-122.093111,36.974392,"79.0","2011-12-08T19:54:41Z"
-122.093194,36.974459,"80.1","2011-12-08T19:54:44Z"
-122.093281,36.974523,"79.2","2011-12-08T19:54:47Z"
-122.093367,36.97458,"80.0","2011-12-08T19:54:50Z"
-122.093447,36.974629,"78.9","2011-12-08T19:54:53Z"
-122.093521,36.97469,"80.0","2011-12-08T19:54:56Z"
-122.093592,36.974752,"81.7","2011-12-08T19:54:59Z"
-122.09365,36.974832,"83.1","2011-12-08T19:55:02Z"
-122.093676,36.974903,"83.1","2011-12-08T19:55:05Z"
-122.093687,36.974981,"85.5","2011-12-08T19:55:08Z"
-122.093702,36.975067,"87.2","2011-12-08T19:55:11Z"
-122.09375,36.975151,"88.1","2011-12-08T19:55:14Z"
-122.093818,36.975251,"88.9","2011-12-08T19:55:17Z"
-122.093854,36.975339,"91.4","2011-12-08T19:55:20Z"
-122.093906,36.975409,"92.7","2011-12-08T19:55:23Z"
-122.094008,36.975424,"91.2","2011-12-08T19:55:26Z"
-122.0941,36.975378,"89.1","2011-12-08T19:55:29Z"
-122.094143,36.975285,"87.3","2011-12-08T19:55:32Z"
-122.094161,36.975159,"85.3","2011-12-08T19:55:35Z"
